NoOfWorkers,GraphClass time (s),GraphFrame time (s), dataset
2,0.01049494743347168,102.73485112190247, ENGB
3,0.009637594223022461,87.6495943069458, ENGB
4,0.01388859748840332,83.48309469223022,ENGB
5,0.009996652603149414,81.32360482215881, ENGB
6,0.010695457458496094,82.51052212715149, ENGB
2,0.04446291923522949,106.41630601882935,DE
3,0.02515435218811035,46.40431880950928,DE
4,0.023485422134399414,41.4247043132782,DE
5,0.025549888610839844,41.889562129974365,DE
6,0.021820545196533203,38.586870431900024,DE


6,0.02525496482849121,40.69706082344055,DE
